movie,recommendations
Put Your Head on My Shoulder,"Put Your Head on My Shoulder, Accidentally in Love, Accidentally in Love, An Innocent Mistake, Animal World, Ex-Boyfriend, Ex-Boyfriend, Master, Together, Pretty Man"
Accidentally in Love,"Accidentally in Love, Love O2O, Pretty Man, An Innocent Mistake, Animal World, Put Your Head on My Shoulder, Put Your Head on My Shoulder, New Gods: Nezha Reborn, Wait My Youth, The Victims' Game"
Vroomiz,"Running Man, Running Man, Stranger, Stranger, Iris, Bread Barbershop, The Lady in Dignity, Pokémon the Movie: Power of Us, Bring It On Ghost, Ken Jeong: You Complete Me Ho"
Love for Ten: Generation of Youth,"Love for Ten: Generation of Youth, Reply 1997, Another Miss Oh, Another Miss Oh, My Only Love Song, Svaha: The Sixth Finger, Life, Life, Mad for Each Other, A Love So Beautiful"
The Staircase,"Colin Quinn: Unconstitutional, Birthmarked, Colin Quinn: Red State Blue State, Mary Poppins Returns, Tramps, Tramps, Midnight Sun, Barely Lethal, Traitors, Traitors"
Man to Man,"Svaha: The Sixth Finger, Rugal, The 8th Night, Cheese in the Trap, The Call, Hospital Playlist, Crash Landing on You, Men on a Mission, Rampant, Beating Again"
Velvet Colección,"The Minions of Midas, Jaguar, Las muñecas de la mafia, Holy Expectations, El Cartel, Los Herederos, Vientos de agua, Nacho Libre, The Apostate, The Old Thieves: The Legend of Artegios"
Toradora!,"Sirius the Jaeger, Sirius the Jaeger, EDENS ZERO, Puella Magi Madoka Magica, Puella Magi Madoka Magica, 7SEEDS, ID-0, Nagi-Asu: A Lull in the Sea, Parasyte: The Maxim, Parasyte: The Maxim"
Life Plan A and B,"The Devil Punisher, The Devil Punisher, A House of Blocks, A House of Blocks, Days We Stared at the Sun, The Victims' Game, The Rational Life, This Is Not What I Expected, Love Storm, Love Storm"
Carrie,"Monster High: Freaky Fusion, Monster High: New Ghoul at School, Monster High: Ghouls Rule, Monster High: Ghouls Rule, Glitter Force, Barbie: A Fairy Secret, Nature's Great Events (2009), Nature's Great Events (2009), Once Upon a Time in America, Once Upon a Time in America"
Bangkok Love Stories: Innocence,"ThirTEEN Terrors, ThirTEEN Terrors, ThirTEEN Terrors, Bangkok Buddies, ChuChuTV Bedtime Stories & Moral Stories for Kids (English), Bangkok Love Stories: Objects of Affection, Bangkok Love Stories: Hey You!, Bangkok Love Stories: Hey You!, The Innocence Files, Phobia 2"
Little Things,"Little Miss Sumo, Krish Trish and Baltiboy: Battle of Wits, Comedy High School, Bureau of Magical Things, Kevin Hart: I'm a Grown Little Man, Who Killed Little Gregory?, Mighty Little Bheem: Kite Festival, Tiny Pretty Things, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends"
The Rational Life,"King’s War, Easy Fortune Happy Life, Love O2O, Life Plan A and B, The Victims' Game, An Innocent Mistake, Be with Me, Be with Me, K.O. One Re-act, A Touch of Green"
Secret of Success,"Secret of Success, Unchained Fate, Unchained Fate, Unchained Fate, Yes We Can!, Trio and a Bed, At the Dolphin Bay, At the Dolphin Bay, Use For My Talent, Rise: Ini Kalilah"
Miss in Kiss,"Days We Stared at the Sun, Love Now, At the Dolphin Bay, At the Dolphin Bay, K.O.3an Guo, K.O.3an Guo, Miss Rose, God of War, An Innocent Mistake, Revenge of the Green Dragons"
Dramaworld,"Santa Clarita Diet, Jimmy Carr: The Best of Ultimate Gold Greatest Hits, Iris, That Winter the Wind Blows, Secret Affair, Secret Affair, The Lady in Dignity, Itaewon Class, Before I Fall, Titipo Titipo"
The Road to Love,"The Road to Love, Monarca, Undercover Law, Narcos: Mexico, An Unremarkable Christmas, Locked Up, Locked Up, Las muñecas de la mafia, Sin senos no hay paraíso, El Cartel"
The Apostate,"The Minions of Midas, A Sort of Family, Heist, The Tree of Blood, Crazy About Her, The Lighthouse of the Orcas, Playing with Fire, Food on the Go, Pablo Escobar el patrón del mal, A Twelve Year Night"
Lila & Eve,"Inside Man: Most Wanted, I Will Follow, The Spectacular Now, Someone Great, How to Get Away with Murder, Miles Davis: Birth of the Cool, Nights in Rodanthe, Nights in Rodanthe, Ratched, Ratched"
Tramps,"Tramps, The Staircase, Colin Quinn: Unconstitutional, Into the Forest, Colin Quinn: Red State Blue State, Riding Faith, 6 Bullets, Tabula Rasa, Drugs Inc., Two Lovers and a Bear"
The Sky Is Pink,"The Sky Is Pink, Don, Dostana, What Are the Odds?, Kingdoms of the Sky, Patiala House, Feels Like Ishq, Feels Like Ishq, City in the Sky, Sky Tour: The Movie"
Godless,"Nowhere Boy, Bright Star, Nurse Jackie, Selfless, The Adventure Club, The Squid and the Whale, Michelle Buteau: Welcome to Buteaupia, Downton Abbey, The Break with Michelle Wolf, Jack Whitehall: Travels with My Father"
Cycle,"Bhavesh Joshi Superhero, Song Exploder, Truckbhar Swapna, Bhouri, Sarvam Thaala Mayam (Telugu Version), Little Singham: Kaal Ka Badla, Bathinda Express, Made in China, Luckee, Pimpal"
The Baker and the Beauty,"The Baker and the Beauty, Raising Victor Vargas, Rica Famosa Latina, He-Man and the Masters of the Universe, All About Nina, Diagnosis, The I-Land, The I-Land, The Third Party, Highway to Heaven"
Hachi: A Dog's Tale,"Mortal Kombat, Kevin James: Never Don't Give Up, Nights in Rodanthe, Nights in Rodanthe, Revelations: The Masters of the Universe: Revelation Aftershow, Revelations: The Masters of the Universe: Revelation Aftershow, Balto, The Spooky Tale of Captain Underpants Hack-a-ween, A Family Reunion Christmas, Barbie Star Light Adventure"
At Eternity's Gate,"Platoon, Streets of Fire, Hannibal, Hannibal, Ad Vitam, The Salvation, My Tattoo Addiction, W.E., Dragon Tiger Gate, The Boy"
Lovesong,"The Whole Nine Yards, Into the Wild, Amy, It Comes at Night, Person of Interest, Person of Interest, The Blacklist, Secret Affair, Secret Affair, Just Friends"
Down to Earth with Zac Efron,"We Are Your Friends, The Disaster Artist, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, Earth's Natural Wonders, Black Space, Tales From the Hood 2, Tales From the Hood 2"
My Friend Pinto,"Waiting, Truckbhar Swapna, Shaitan, Shaitan, Sardar Ka Grandson, Man Like Mobeen, The Blue Elephant 2, Ram Teri Ganga Maili, Is Love Enough? Sir, India: Nature's Wonderland"
Bokeh,"Glitch, The Student, Walking Out, The Final Table, Greatest Events of WWII in Colour, Man with a Plan, Bondi Rescue, The Texas Chainsaw Massacre, The Texas Chainsaw Massacre, The Ice Road"
Jupiter Ascending,"Cloud Atlas, Irreplaceable You, Haywire, The Dark Crystal: Age of Resistance, Diana: 7 Days That Shook the World, America: The Motion Picture, Republic of Doyle, Republic of Doyle, That '70s Show, That '70s Show"
F.R.E.D.I.,"Our House, Tiny Pretty Things, Sugar Rush Christmas, House Party 2, Bure Kaam Bura Natija Kyun Bhai Chacha Haan Bhatija, The Sinner, Aliens Stole My Body, Fear and Loathing in Las Vegas, The Autopsy of Jane Doe, The Autopsy of Jane Doe"
Star Trek,"Star Trek: Deep Space Nine, Making a Murderer, Making a Murderer, Monty Python's Almost the Truth, Monty Python's Life of Brian, Star Trek: Enterprise, Star Trek: Enterprise, Ratchet and Clank, Monty Python's Flying Circus, Keymon and Nani in Space Adventure"
The Time Machine,"The Flintstones in Viva Rock Vegas, Inkheart, Inkheart, Barbie Big City Big Dreams, Balto, Mr. Roosevelt, Chaotic Love Poems, Geronimo Stilton, Learning Time with Timmy, Raising Dion"
Bhavesh Joshi Superhero,"Sacred Games, AK vs AK, Bhouri, Haseen Dillruba, Bathinda Express, Truckbhar Swapna, Drishyam, Cycle, Udaan, Song Exploder"
Mortal Kombat,"We Are the Champions, Hachi: A Dog's Tale, As Above So Below, Big Stone Gap, Chris Brown: Welcome to My Life, Between Maybes, Chris Tucker Live, The Adventure Club, Containment, There Will Be Blood"
Alejandro Sanz: What I Was Is What I Am,"Camarón Revolution, Oldsters, Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Growing up and other problems, Mr. Iglesias, Mr. Iglesias, The Laws of Thermodynamics, Taco Chronicles, El Barco"
Ali & Ratu Ratu Queens,"Arisan 2, Dilan 1991, Love Like the Falling Rain, Dancing Queen, Motown Magic, Motown Magic, The Good Place, Lucky Days, The Price of Success, Jurassic World Camp Cretaceous"
C Kkompany,"Darna Mana Hai, Kyo Kii... Main Jhuth Nahin Bolta, Fida, Pimpal, Ankhon Dekhi, Ideachi Kalpana, Mujrim, Super Nani, Chashme Buddoor, Abby Sen"
Dhobi Ghat (Mumbai Diaries),"What Are the Odds?, Truckbhar Swapna, Main Hoon Na, Lucky: No Time for Love, Umrika, Taj Mahal 1989, Pyar Ke Do Pal, Andaz Apna Apna, Bareilly Ki Barfi, Maharakshak Devi"
7 años,"Holy Goalie, El Cartel, Coven of Sisters, Undercover Law, Edha, El final del paraíso, Someone Has to Die, Pasión de Gavilanes, Ready to Mingle, Sin Senos sí Hay Paraíso"
Atypical,"The Kominsky Method, The Kominsky Method, Alex Strangelove, Amy, Money for Nothing, NOVA: Bird Brain, 1 Mile to You, Pokémon: Mewtwo Strikes Back - Evolution, The Spectacular Now, Billy Graham: An Extraordinary Journey"
Birthmarked,"The Staircase, Nothing to Hide, Nothing to Hide, The Crown, Inhuman Resources, LEGO Ninjago: Masters of Spinjitzu: Day of the Departed, Rotten, Rotten, Selfless, Bugs"
The 3rd Eye,"Queer Eye: We're in Japan!, L.A.’s Finest, L.A.’s Finest, Rocky IV, Rocky IV, Zubaan, 3%, 6 Bullets, Escape from Planet Earth, The Gospel of Mark"
Ghost in the Shell: SAC_2045,"The Ingenuity of the Househusband, The Ingenuity of the Househusband, The Ingenuity of the Househusband, NiNoKuni, EVANGELION: DEATH (TRUE)², Ingress: The Animation, Fullmetal Alchemist, Inuyasha the Movie - La spada del dominatore del mondo, Inuyasha the Movie - La spada del dominatore del mondo, Record of Ragnarok"
Ojukokoro: Greed,"One Lagos Night, Kasanova, Phone Swap, New Money, Dare to Be Wild, The Governor, Finding Hubby, Offspring, Resident Evil: Afterlife, 2012"
Breaking Free,"Love You... Love You Not, Breaking Boundaries: The Science Of Our Planet, Spirit Riding Free: Riding Academy, Breaking Bad, The Twilight Saga: Breaking Dawn: Part 2, Spirit Riding Free: Ride Along Adventure, Free Rein: Valentine's Day, Bangkok Breaking, The Lake House, First Kiss"
Narcos: Mexico,"The Road to Love, The Road to Love, War on Everyone, The Least Expected Day: Inside the Movistar Team 2019, Dancing Queen, Made in Mexico, Made in Mexico, Sin senos no hay paraíso, Narcoworld: Dope Stories, 3Below: Tales of Arcadia"
Rocko's Modern Life: Static Cling,"Damnation, Joe Mande’s Award-Winning Comedy Special, Robozuna, Love Death & Robots, Chicago Party Aunt, Zombieland, Peaky Blinders, Peaky Blinders, Easy Fortune Happy Life, The Longest Yard"
Idiotest,"Idiotest, The Big Catch, The Ottoman Lieutenant, Diana: 7 Days That Shook the World, The Perfect Match, Forces of Nature, The Boy, Dark Light, The Prince & Me, The Exception"
Mosquita y Mari,"Mosquita y Mari, The Lighthouse of the Orcas, Elite Short Stories: Omar Ander Alexis, Dancing Queen, A Faraway Land, The Tree of Blood, Maria Bamford: The Special Special Special, Jaguar, Yo-Kai Watch: The Movie, Mr. Roosevelt"
Surviving Death,"Chris Tucker Live, The Christmas Project, Aussie Gold Hunters, Mary Portas: Secret Shopper, The Space Between Us, The Space Between Us, Alexis Viera: A Story of Surviving, Alexis Viera: A Story of Surviving, Inkheart, Inkheart"
L.A.’s Finest,"L.A.’s Finest, Escape from Planet Earth, Strong, Barely Lethal, Crazy Ex-Girlfriend, Crazy Ex-Girlfriend, Crazy Ex-Girlfriend, The Adventure Club, Sweet Virginia, The Sinner"
Iris,"Game Over (Tamil Version), Chance Pe Dance, Hamid, Udaan, Days We Stared at the Sun, As Above So Below, The Last Exorcism, Shikara, Iris, The Book of Sun"
The 100,"Ideachi Kalpana, Love Jones, Outer Banks, Damnation, Tracy Morgan: Staying Alive, The Vampire Diaries, Sing On! Spain, Skylines, 100% Hotter, Wolves"
Jailbirds,"Bibi & Tina: Girls Versus Boys, Jailbirds New Orleans, Julie & Julia, Tarzan, Superman Returns, Hidden Singer, Cuckoo, When Love Happens, The Society, The Society"
June & Kopi,"My Dead Ex, 72 Dangerous Places to Live, Secret of Success, Secret of Success, Unchained Fate, Unchained Fate, Unchained Fate, The Princess and the Frog, I Am Mother, I Am Mother"
Myth & Mogul: John DeLorean,"Prince of Peoria, Chris Brown: Welcome to My Life, Puss in Boots, Chris Tucker Live, What Makes a Psychopath?, Jungle Beat: The Movie, Fools Rush In, We Are the Champions, Lunatics, Inspector Gadget"
Dead to Me,"Learning Songs by Little Baby Bum: Nursery Rhyme Friends, Learning Songs by Little Baby Bum: Nursery Rhyme Friends, The Box, Selfless, Bloodline, Good Burger, Superman Returns, Kevin James: Never Don't Give Up, 2012, Sam Smith: Love Goes - Live at Abbey Road Studios"
ParaNorman,"Chris Tucker Live, Dragons: Dawn of the Dragon Racers, Trolls Holiday Special, Dragons: Race to the Edge, Life After Beth, Evan Almighty, Case 39, Sleepover, Robozuna, Undercover"
Muppets Most Wanted,"Disenchantment, Little Miss Sumo, My Next Guest Needs No Introduction With David Letterman, My Next Guest Needs No Introduction With David Letterman, Escape from Planet Earth, Mr. Peabody & Sherman, Sing On! Spain, Derek, 30 Rock, Deep Undercover Collection"
Abominable Christmas,"Mr. Peabody & Sherman, Bee Movie, Bee Movie, Morris from America, Heartbreakers, Tabula Rasa, GoodFellas, High Score, Eastsiders, Jack Whitehall: Christmas with My Father"
India: Nature's Wonderland,"India: Nature's Wonderland, Nature's Weirdest Events, Nature's Weirdest Events, Nature's Great Events (2009), Nature's Great Events (2009), NATURE: Natural Born Hustlers, Masaba Masaba, Masaba Masaba, Masaba Masaba, Ratched"
Killer Ratings,"How to Get Away with Murder, Time to Dance, Time to Dance, Chance Pe Dance, ABCD 2, Boss, NOVA: Killer Volcanoes, Killer Inside: The Mind of Aaron Hernandez, Ana e Vitória, Inside the Mind of a Serial Killer"
The Spooky Tale of Captain Underpants Hack-a-ween,"Captain Underpants Epic Choice-o-Rama, The Epic Tales of Captain Underpants, The Epic Tales of Captain Underpants, Trolls: The Beat Goes On!, Kevin James: Never Don't Give Up, A Week Away, Hometown Cha-Cha-Cha, Austin Powers: The Spy Who Shagged Me, A Korean Odyssey, Austin Powers: International Man of Mystery"
Nacho Libre,"The Love Affair, Martin Matte: La vie la mort...eh la la..!, Vientos de agua, Not a Game, Taco Chronicles, El Cartel 2, Camarón Revolution, La Reina del Sur, I Am Me!, The Birth Reborn 3"
The Outlaw Josey Wales,"Dollar, Dollar, Dollar, Black Heart, Buddi, Mine 9, Danger Mouse: Classic Collection, Monster High: Freaky Fusion, Killer Klowns from Outer Space, The Package"
Losing Sight of Shore,"Vir Das: Losing It, Hometown Holiday, Yoko, Person of Interest, Person of Interest, Ratched, Ratched, Ratched, Damnation, Geronimo Stilton"
Beyond the Boundary: ICC Women's T20 World Cup Australia 2020,"Dancing Queen, Bill Nye Saves the World, LEGO Jurassic World: Legend of Isla Nublar, Weird Wonders of the World, Nadiya Bakes, Genius of the Ancient World, Japan Sinks: 2020, Japan Sinks: 2020, Atypical, Thaandavam"
Real Steel,"Real Steel, Kevin James: Never Don't Give Up, The Real Football Factories, Little Evil, The Box, Big Fat Liar, Merlin, The English Game, The Talented Mr. Ripley, Balto"
First Match,"All Day and a Night, Earth's Natural Wonders, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, Flowers, The Lobster, The Perfect Match, Iris"
Scandal in Sorrento,"100% Hotter, Flowers, Love for Ten: Generation of Youth, Love for Ten: Generation of Youth, Scandal, 5 Star Christmas, I Am Mother, I Am Mother, Orbiter 9, Dino Hunt"
Save Me,"Arthdal Chronicles, Rampant, Cheese in the Trap, Last, A Love So Beautiful, The K2, Crash Landing on You, Iris, Immortal Classic, Immortal Classic"
Platoon,"Red Dawn, Streets of Fire, Colin Quinn: Unconstitutional, Blown Away, Franca: Chaos and Creation, Colin Quinn: Red State Blue State, The Crying Game, There Will Be Blood, Into the Forest, At Eternity's Gate"
The Guns of Navarone,"Chitty Chitty Bang Bang, Merlin, Who Killed Little Gregory?, Kevin James: Never Don't Give Up, Howards End, Colin Quinn: Unconstitutional, W.E., The Talented Mr. Ripley, James Acaster: Repertoire, A Family Reunion Christmas"
Miles Davis: Birth of the Cool,"The Birth Reborn 3, Prom Night, Listen Up! The Lives of Quincy Jones, A Princess for Christmas, St. Agatha, St. Agatha, V for Vendetta, The Spectacular Now, Belief: The Possession of Janet Moses, 13 Reasons Why"
Diana: In Her Own Words,"Dancing Queen, Diana: 7 Days That Shook the World, The Women and the Murderer, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, Be with Me, Be with Me, House Party 2"
The Women and the Murderer,"Diana: In Her Own Words, Women Behind Bars, Diana: 7 Days That Shook the World, Princess Cyd, Making a Murderer, Making a Murderer, Al Hayba, 3 Idiots, The Walls of the Moon, Beyond the Boundary: ICC Women's T20 World Cup Australia 2020"
Ram Dass Going Home,"Love Alarm, Love Alarm, Bhoot, Comedy High School, Ram Teri Ganga Maili, Udaan, 99 Songs, Ek Main Aur Ekk Tu, Hazaaron Khwaishein Aisi, Afflicted"
Naruto Shippuden the Movie: Blood Prison,"Naruto Shippuden the Movie: Blood Prison, Naruto Shippuden : Blood Prison, Naruto Shippuden: The Movie: The Lost Tower, Naruto Shippuden: The Movie: The Lost Tower, Naruto Shippûden the Movie: Bonds, Naruto Shippûden the Movie: The Will of Fire, Naruto the Movie: Ninja Clash in the Land of Snow, Naruto the Movie 2: Legend of the Stone of Gelel, ID-0, Japan Sinks: 2020"
Lil Peep: Everybody’s Everything,"Unknown, The Player, Monty Python's Almost the Truth, Monty Python's Life of Brian, Below Her Mouth, Barely Lethal, Locke & Key, Locke & Key, Ultraviolet, Listen Up! The Lives of Quincy Jones"
Kevyn Aucoin: Beauty & the Beast in Me,"Christmas Inheritance, Lavell Crawford: Can a Brother Get Some Love?, The Politician, The Talented Mr. Ripley, The Ring, The Expanding Universe of Ashley Garcia, Franca: Chaos and Creation, The Baker and the Beauty, The Baker and the Beauty, Frank and Cindy"
Listen Up! The Lives of Quincy Jones,"Miles Davis: Birth of the Cool, Legacies, Locke & Key, Locke & Key, Monty Python's Almost the Truth, The Basement, The Basement, Gehenna: Where Death Lives, Monty Python's Life of Brian, The Lamb"
Trese After Dark,"Secret of Success, Secret of Success, Tremors 6: A Cold Day in Hell, Unchained Fate, Unchained Fate, Unchained Fate, Dark Tourist, Dark Tourist, Escape from Planet Earth, Secret"
Mitt,"Dream Big: Engineering Our World, Bitten, A Very Country Christmas, Aussie Gold Hunters, AlphaGo, Love Storm, Love Storm, Love Storm, Cuckoo, Star-Crossed"
NOVA: Bird Brain,"NOVA: Killer Volcanoes, Cabins in the Wild with Dick Strawbridge, The Creative Brain, Atypical, This Is a Robbery: The World's Biggest Art Heist, High Flying Bird, High Flying Bird, Battlefield Recovery, Battlefield Recovery, Skin Wars"
Mr. Peabody & Sherman,"Abominable Christmas, Tallulah, Some Freaks, A Series of Unfortunate Events, V for Vendetta, The Silence, Just Friends, Julie & Julia, Our House, Battlefield Recovery"
Thus Spoke Kishibe Rohan,"Haikyu!!, Naruto the Movie 2: Legend of the Stone of Gelel, Sirius the Jaeger, Sirius the Jaeger, Nagi-Asu: A Lull in the Sea, Record of Grancrest War, Puella Magi Madoka Magica, Puella Magi Madoka Magica, JoJo's Bizarre Adventure, Naruto Shippûden the Movie: Bonds"
Miss Rose,"Dear Ex, Love Me or Leave Me, Bromance, The Devil Punisher, The Devil Punisher, Two Fathers, Two Fathers, Two Fathers, Miss in Kiss, The Victims' Game"
True: Rainbow Rescue,"Win the Wilderness, Win the Wilderness, Todd Glass: Stand-Up Special, Heavy Rescue: 401, Bureau of Magical Things, Inspector Gadget, Inspector Gadget, Madagascar 3: Europe's Most Wanted, Charlie's Colorforms City, Inhuman Resources"
Glitter Force,"Monster High: New Ghoul at School, Monster High: Great Scarrier Reef, Monster High: Ghouls Rule, Monster High: Ghouls Rule, All About Nina, Monster High: Freaky Fusion, Barbie: A Fairy Secret, Mary Portas: Secret Shopper, The Car, LEGO Marvel Super Heroes: Black Panther"
My Dead Ex,"Audrey, Safe, The Book of Eli, 72 Dangerous Places to Live, The IT Crowd, Ex-Boyfriend, Ex-Boyfriend, Before I Fall, Dead Set, Dead Set"
Chhota Bheem: Dus Pe Dus,"Mighty Raju, Chhota Bheem Kungfu Dhamaka, Bheemayan, Little Singham: Kaal Ki Tabaahi, Chalte Chalte, Chalte Chalte, Ek Jaan Hain Hum, Little Singham: Kaal Ka Badla, Mighty Little Bheem: Kite Festival, Chance Pe Dance"
Trolls: The Beat Goes On!,"The Spooky Tale of Captain Underpants Hack-a-ween, Sam Smith: Love Goes - Live at Abbey Road Studios, Trolls Holiday Special, Our Planet, Our Planet, Planet Hulk, Jungle Beat: The Movie, Gnome Alone, Captain Underpants Epic Choice-o-Rama, The Crow"
Wyatt Cenac: Brooklyn,"Lovesong, Taken, The Lake House, First Kiss, A Christmas Prince: The Royal Baby, Slay, Phone Swap, Panipat - The Great Betrayal, 6 Years, One-Way to Tomorrow"
Felipe Esparza: Bad Decisions,"The Influence, The Queen and the Conqueror, The Road to Love, The Road to Love, The Bad Kids, Bad Blood, Bad Blood, Breaking Bad, Bad Day for the Cut, Big Bad Beetleborgs"
Wait My Youth,"Love O2O, Pretty Man, New Gods: Nezha Reborn, Animal World, Accidentally in Love, Accidentally in Love, Dragon Tiger Gate, Once Upon A Time In Lingjian Mountain, The Rational Life, Weeds on Fire"
Safe,"Audrey, Hannah Gadsby: Douglas, Rust Valley Restorers, Rust Valley Restorers, Marc Maron: End Times Fun, My Dead Ex, 6 Years, 6 Years, The Fear, St. Agatha"
Prohibition: A Film by Ken Burns and Lynn Novick,"Ken Burns: The Roosevelts: An Intimate History, Ken Burns: The Civil War, Ken Jeong: You Complete Me Ho, 1 Mile to You, The Human Factor: The Untold Story of the Bombay Film Orchestras, Sword of Trust, Stay Tuned!, HOMECOMING: A film by Beyoncé, Mine 9, Marc Maron: End Times Fun"
Jack Whitehall: Christmas with My Father,"Jack Whitehall: Travels with My Father, Queer Eye: We're in Japan!, Jesus: Countdown to Calvary, Tabula Rasa, Liefling, Van Helsing, Secret of Success, Secret of Success, Barbie Star Light Adventure, Unchained Fate"
Fakkah Fuzz: Almost Banned,"Fakkah Fuzz: Almost Banned, Talladega Nights: The Ballad of Ricky Bobby, Haywire, Money for Nothing, Better Call Saul, Better Call Saul, Better Call Saul, Doomsday Preppers, Doomsday Preppers, War on Everyone"
The Day I Met El Chapo,"La Reina del Sur, All About Nina, The Dealer, Destiny, The Emigrant, Inuyasha the Movie - La spada del dominatore del mondo, Inuyasha the Movie - La spada del dominatore del mondo, The Knight and the Princess, The Right One, Pablo Escobar el patrón del mal"
Miss Julie,"Colin Quinn: Unconstitutional, The Lobster, Colin Quinn: Red State Blue State, Crimson Peak, Little Miss Sumo, Julie & Julia, Mr. Young, American Outlaws, Madagascar 3: Europe's Most Wanted, Santa Clarita Diet"
Barbie Big City Big Dreams,"The Big Catch, Dream Big: Engineering Our World, The Big Flower Fight, The Big Family Cooking Showdown, Alejandro Sanz: What I Was Is What I Am, Barbie Princess Adventure, Narcoworld: Dope Stories, Big Bad Beetleborgs, Big Fat Liar, Chaotic Love Poems"
Trailer Park Boys: Drunk High and Unemployed: Live in Austin,"Austin Powers: The Spy Who Shagged Me, Sam Smith: Love Goes - Live at Abbey Road Studios, Austin Powers: International Man of Mystery, Race to Witch Mountain, The Princess and the Frog, The Innocence Files, We Are the Champions, Mr. Roosevelt, Wolves, Wolves"
Exes Baggage,"My Only Mother, Love or Money, Love or Money, Something Huge, La Leyenda del Diamante, Lucky Days, Las muñecas de la mafia, James Acaster: Repertoire, Chef's Table, The Baker and the Beauty"
Milestone,"Kota Factory, Highway, Ugly, Sat Sri Akal, Sat Sri Akal, Super Nani, Kanavu Variyam, Bathinda Express, The Great Gambler, Zubaan"
Train of the Dead,"The Holy Man, Revenge, Revenge, Kurt Seyit & Sura, Ash vs. Evil Dead, Dead to Me, My Dead Ex, Pahuyut Fighting Beat, Dead Set, Dead Set"
School Life,"Grand Designs, The Hook Up Plan, The Hook Up Plan, Until Dawn, Marianne, Twice Upon A Time, Twice Upon A Time, Life Sentence, The Tambour of Retribution, Shooter"
U-Turn,"Bride For Rent, Fronteras, Everything Will Be Fine, La Reina del Sur, Sakaling Maging Tayo, The Day I Met El Chapo, Ex-Boyfriend, Ex-Boyfriend, Comedians in Cars Getting Coffee, Jerry Seinfeld: 23 Hours To Kill"
Chaotic Love Poems,"Surat Dari Praha, Single, Barbie Big City Big Dreams, Love on the Spectrum, Love on the Spectrum, The Time Machine, Age Gap Love, Love Rhythms - Accidental Daddy, Love You... Love You Not, Love for Ten: Generation of Youth"
Fools Rush In,"The Whole Nine Yards, Killer Klowns from Outer Space, Man Like Mobeen, An Interview with God, Win the Wilderness, Win the Wilderness, Puss in Boots, Drunk Parents, Man with a Plan, Chicago Party Aunt"
An Unremarkable Christmas,"A Twelve Year Night, The Road to Love, The Road to Love, La ley de Herodes, El Cartel 2, Monarca, La Viuda Negra, Sin Senos sí Hay Paraíso, Asu Mare 2, Narcoworld: Dope Stories"
Klaus,"Narcoworld: Dope Stories, A Series of Unfortunate Events, Made in Mexico, Made in Mexico, The Idhun Chronicles, The Idhun Chronicles, My Entire High School Sinking Into the Sea, Prince of Peoria, Neo Yokio, Frank and Cindy"
Finding Hubby,"Catch.er, Catch.er, 1-Oct, It's Her Day, The Bridge, Ojukokoro: Greed, Da 5 Bloods, The Other Side of the Wind, Charlotte's Web, The Negro Soldier"
Dostana,"Kabhi Alvida Naa Kehna, Main Hoon Na, Don, The Sky Is Pink, The Sky Is Pink, Made in China, Abby Sen, 3 Idiots, What Are the Odds?, Gol Maal"
Home Again,"Shine On with Reese, Mr. Peabody & Sherman, The Interview, Mr. Roosevelt, Ratched, Ratched, Ratched, The Vampire Diaries, Under the Eiffel Tower, The Christmas Project"
Fall Girls,"Zero, Monster Hunter: Legends of the Guild, Before I Fall, Tip the Mouse, Martin Matte: La vie la mort...eh la la..!, Planet Earth II, Planet Earth II, Planet Earth II, Planet Earth II, 44 Cats"
Made in China,"Bareilly Ki Barfi, Main Hoon Na, Dostana, 3 Idiots, Ankahi Kahaniya, Black Friday, Shaitan, Shaitan, THE UNLISTED, THE UNLISTED"
Boss,"Mad for Each Other, My Only Love Song, Last, Beating Again, Beating Again, A Love So Beautiful, Miss Panda & Mr. Hedgehog, My Sassy Girl, A Korean Odyssey, My First First Love"
Drink Drank Drunk,"OCTB, God of War, Once a Gangster, Goodnight DJ 1, Hong Kong West Side Stories, Ken Jeong: You Complete Me Ho, Deep Undercover Collection, Operation Mekong, 23:59, Bathinda Express"
Christmas with the Kranks,"Wild Wild West, Congo, The River Wild, The Universe: Ancient Mysteries Solved, Tim Minchin: So F**king Rock, From Dusk Till Dawn, 1 Mile to You, Kevin James: Never Don't Give Up, #Roxy, Styling Hollywood"
Life After Beth,"Two Lovers and a Bear, Talladega Nights: The Ballad of Ricky Bobby, 3Below: Tales of Arcadia, Criminal Minds, War on Everyone, Evan Almighty, ParaNorman, Inside the Mind of a Serial Killer, A Night at the Roxbury, A Night at the Roxbury"
Every Time I Die,"Alone, Malicious, Marc Maron: End Times Fun, Hungerford, The Break with Michelle Wolf, Michelle Buteau: Welcome to Buteaupia, Big Fat Liar, Learning Time with Timmy, Safe, The Least Expected Day: Inside the Movistar Team 2019"
White Girl,"Tusk, Jane The Virgin, Tracy Morgan: Staying Alive, Lift Like a Girl, Lift Like a Girl, Marc Maron: End Times Fun, Someone Great, Floor Is Lava, Alone, Lifechanger"
